"ResponseId","geo_zipcode","SWLS","MLQ_P","PRLQ","walkscore_walkscore","walkscore_transitscore","walkscore_bikescore","walkscore_city_name","walkscore_state_name","mobility_city_name","mobility_msa_name","mobility_score","Seg_Rank","Seg_City","Seg_State","Segregation_Divergence_Score","Segregation_Category","ZIP_FIPS","ZIP_Name","ZIP_X3_Digit_Tabulation","ZIP_X5_Digit_Tabulation","ZIP_Area_Name","ZIP_Zipcode_Zone","ZIP_State_Territory","ZIP_Total_Population","ZIP_Population_Density","ZIP_Area","ZIP_Total_Population1","ZIP_Total_Population_Male","ZIP_Total_Population_Female","ZIP_X_Total_Population_Male","ZIP_X_Total_Population_Female","ZIP_Total_Population2","ZIP_Total_Population_Under_5_Years","ZIP_Total_Population_5_to_9_Years","ZIP_Total_Population_10_to_14_Years","ZIP_Total_Population_15_to_17_Years","ZIP_Total_Population_18_to_24_Years","ZIP_Total_Population_25_to_34_Years","ZIP_Total_Population_35_to_44_Years","ZIP_Total_Population_45_to_54_Years","ZIP_Total_Population_55_to_64_Years","ZIP_Total_Population_65_to_74_Years","ZIP_Total_Population_75_to_84_Years","ZIP_Total_Population_85_Years_And_Over","ZIP_X_Total_Population_Under_5_Years","ZIP_X_Total_Population_5_to_9_Years","ZIP_X_Total_Population_10_to_14_Years","ZIP_X_Total_Population_15_to_17_Years","ZIP_X_Total_Population_18_to_24_Years","ZIP_X_Total_Population_25_to_34_Years","ZIP_X_Total_Population_35_to_44_Years","ZIP_X_Total_Population_45_to_54_Years","ZIP_X_Total_Population_55_to_64_Years","ZIP_X_Total_Population_65_to_74_Years","ZIP_X_Total_Population_75_to_84_Years","ZIP_X_Total_Population_85_Years_And_Over","ZIP_Total_Population3","ZIP_Total_Population_White_Alone","ZIP_Total_Population_Black_or.African_American_Alone","ZIP_Total_Population_American_Indian_And_Native_Alaskan_Alone","ZIP_Total_Population_Asian_Alone","ZIP_Total_Population_Native_Hawaiian_And_Other_Pacific_Islander_Alone","ZIP_Total_Population_Some_Other_Race_Alone","ZIP_Total_Population_Two_Or_More_Races","ZIP_X_Total_Population_White_Alone","ZIP_X_Total_Population_Black_or_African_American_Alone","ZIP_X_Total_Population_American_Indian_And_Native_Alaskan_Alone","ZIP_X_Total_Population_Asian_Alone","ZIP_X_Total_Population_Native_Hawaiian_And_Other_Pacific_Islander_Alone","ZIP_X_Total_Population_Some_Other_Race_Alone","ZIP_X_Total_Population_Two_Or_More_Races","ZIP_Households","ZIP_Households_Family_Households","ZIP_Households_Married_Couple_Family","ZIP_Households_Other_Family","ZIP_Households_Male_Householder_No_Wife_Present","ZIP_Households_Female_Householder_No_Husband_Present","ZIP_Households_Nonfamily_Households","ZIP_Nonfamily_Households_Male_Householder","ZIP_Nonfamily_Households_Female_Householder","ZIP_X_Households_Family_Households","ZIP_X_Households_Married_Couple_Family","ZIP_X_Households_Other_Family","ZIP_X_Households_Male_Householder_No_Wife_Present","ZIP_X_Households_Female_Householder_No_Husband_Present","ZIP_X_Households_Nonfamily_Households","ZIP_X_Nonfamily_Households_Male_Householder","ZIP_X_Nonfamily_Households_Female_Householder","ZIP_Median_Household_Income","ZIP_Housing_Units","ZIP_Occupied_Housing_Units","ZIP_Owner_Occupied","ZIP_Renter_Occupied","ZIP_X_Owner_Occupied","ZIP_X_Renter_Occupied","ZIP_Population_With_Poverty_Status","ZIP_Poverty_Status_Under_1.00","ZIP_Poverty_Status_1.00_to_1.99","ZIP_Poverty_Status_Under_2.00","ZIP_Poverty_Status_2.00_and_Over","ZIP_X_Poverty_Status_Under_1.00","ZIP_X_Poverty_Status_1.00_to_1.99","ZIP_X_Poverty_Status_Under_2.00","ZIP_X_Poverty_Status_2.00_and_Over","ZIP_Total_Population_Last","ZIP_Total_Not_Hispanic","ZIP_Total_Not_Hispanic_White_Alone","ZIP_Total_Not_Hispanic_Black_Alone","ZIP_Total_Not_Hispanic_American_Indian_Native_Alaskan_Alone","ZIP_Total_Not_Hispanic_Asian_Alone","ZIP_Total_Not_Hispanic_Native_Hawaiian_Pacific_Islander","ZIP_Total_Not_Hispanic_Other_Race","ZIP_Total_Not_Hispanic_Two_or_More_Races","ZIP_Total_Hispanic","ZIP_X_Not_Hispanic","ZIP_X_Not_Hispanic_White_Alone","ZIP_X_Not_Hispanic_Black_Alone","ZIP_X_Not_Hispanic_American_Indian_Native_Alaskan_Alone","ZIP_X_Not_Hispanic_Asian_Alone","ZIP_X_Not_Hispanic_Native_Hawaiian_Pacific_Islander","ZIP_X_Not_Hispanic_Other_Race","ZIP_X_Not_Hispanic_Two_or_More_Races","ZIP_X_Hispanic"
"R_1i3t0nkRtaQgQ0P",91913,5.19,6.8,8.38,0.83,0.13,0.18,"Chula Vista","CA","Chula Vista city","San Diego-Carlsbad_CA Metro Area",0.145,38,"Chula Vista city"," CA",0.2522,"High Segregation",91913,"ZCTA5 91913",919,91913,"ZCTA5 91913","West Coast (includes Hawaii/Alaska)","CA",56102,6167.924,9.09576646687166,56102,27957,28145,49.83,50.17,56102,2688,4971,5227,2475,5400,7587,8070,8787,5805,3007,1409,676,4.79,8.86,9.32,4.41,9.63,13.52,14.38,15.66,10.35,5.36,2.51,1.2,56102,19466,4394,96,14689,336,7404,9717,34.7,7.83,0.17,26.18,0.6,13.2,17.32,16135,13430,10520,2910,775,2135,2705,1236,1469,83.24,65.2,18.04,4.8,13.23,16.76,7.66,9.1,124531,16951,16135,11554,4581,71.61,28.39,55815,3057,6099,9156,46659,5.48,10.93,16.4,83.6,56102,28633,7525,4174,12,14021,228,205,2468,27469,51.04,13.41,7.44,0.02,24.99,0.41,0.37,4.4,48.96
"R_3HhHK4zp2dRfrXQ",33710,3.43,8.56,1.48,0.97,0.4,0.16,"St. Petersburg","FL","St. Petersburg city","Tampa-St. Petersburg-Clearwater_FL Metro Area",0.159,42,"St. Petersburg city"," FL",0.2278,"High Segregation",33710,"ZCTA5 33710",337,33710,"ZCTA5 33710","South East (Around FL)","FL",34102,4277.393,7.97261300052355,34102,16390,17712,48.06,51.94,34102,2110,1513,1290,857,2413,3836,4111,4471,5859,4393,2007,1242,6.19,4.44,3.78,2.51,7.08,11.25,12.06,13.11,17.18,12.88,5.89,3.64,34102,27757,1364,9,1849,0,464,2659,81.39,4,0.03,5.42,0,1.36,7.8,14261,8614,6414,2200,430,1770,5647,2683,2964,60.4,44.98,15.43,3.02,12.41,39.6,18.81,20.78,72029,16392,14261,11431,2830,80.16,19.84,33712,2754,5820,8574,25138,8.17,17.26,25.43,74.57,34102,31388,26666,1254,9,1741,0,111,1607,2714,92.04,78.19,3.68,0.03,5.11,0,0.33,4.71,7.96
"R_3s4Vb6hrAf43faC",10461,2.22,8.59,9.42,0.41,0.74,0.84,"New York","NY","New York city","New York-Newark-Jersey City_NY-NJ-PA Metro Area",0.095,7,"New York city"," NY",0.4379,"High Segregation",10461,"ZCTA5 10461",104,10461,"ZCTA5 10461","Lower North East (Arond NY)","NY",50868,21299.88,2.3881828796118,50868,23934,26934,47.05,52.95,50868,2750,3178,3320,1779,3814,8409,6691,6789,6324,4007,2549,1258,5.41,6.25,6.53,3.5,7.5,16.53,13.15,13.35,12.43,7.88,5.01,2.47,50868,21074,5029,487,6646,0,13318,4314,41.43,9.89,0.96,13.07,0,26.18,8.48,18807,12238,7456,4782,1026,3756,6569,3010,3559,65.07,39.64,25.43,5.46,19.97,34.93,16,18.92,64444,20047,18807,5933,12874,31.55,68.45,49694,8334,9555,17889,31805,16.77,19.23,36,64,50868,25566,14286,3893,60,6493,0,306,528,25302,50.26,28.08,7.65,0.12,12.76,0,0.6,1.04,49.74
"R_3PjlGSNfBC6WVbB",80921,5.6,9.15,1.26,0.29,0.11,0.32,"Colorado Springs","CO","Colorado Springs city","Colorado Springs_CO Metro Area",0.203,113,"Colorado Springs city"," CO",0.0531,"Integrated",80921,"ZCTA5 80921",809,80921,"ZCTA5 80921","Western Interior (Around CO)","CO",23767,484.8574,49.0185375376257,23767,12193,11574,51.3,48.7,23767,606,1675,1769,1323,1595,1873,2642,3602,4171,2733,1144,634,2.55,7.05,7.44,5.57,6.71,7.88,11.12,15.16,17.55,11.5,4.81,2.67,23767,19588,488,61,1219,223,405,1783,82.42,2.05,0.26,5.13,0.94,1.7,7.5,9428,7156,6382,774,240,534,2272,844,1428,75.9,67.69,8.21,2.55,5.66,24.1,8.95,15.15,137801,9910,9428,7265,2163,77.06,22.94,23718,777,1501,2278,21440,3.28,6.33,9.6,90.4,23767,21676,18502,488,18,1155,213,245,1055,2091,91.2,77.85,2.05,0.08,4.86,0.9,1.03,4.44,8.8
"R_A5o1bi11KxNSAHT",92105,3.81,3.82,7.6,0.87,0.44,0.79,"San Diego","CA","San Diego city","San Diego-Carlsbad_CA Metro Area",0.145,39,"San Diego city"," CA",0.2514,"High Segregation",92105,"ZCTA5 92105",921,92105,"ZCTA5 92105","West Coast (includes Hawaii/Alaska)","CA",72688,12629.16,5.75557068218077,72688,37061,35627,50.99,49.01,72688,3870,4980,5079,3353,8126,12611,10042,9103,7520,4698,2499,807,5.32,6.85,6.99,4.61,11.18,17.35,13.82,12.52,10.35,6.46,3.44,1.11,72688,22360,9179,1019,13810,162,14527,11631,30.76,12.63,1.4,19,0.22,19.99,16,22847,15084,8599,6485,1840,4645,7763,4127,3636,66.02,37.64,28.38,8.05,20.33,33.98,18.06,15.91,58924,24074,22847,7368,15479,32.25,67.75,72144,16721,16812,33533,38611,23.18,23.3,46.48,53.52,72688,35434,10010,8710,82,13681,137,269,2545,37254,48.75,13.77,11.98,0.11,18.82,0.19,0.37,3.5,51.25
"R_1LjkoBTIR4327Nn",15235,7.69,8.13,9.88,0.86,0.89,0.34,"Pittsburgh","PA","Pittsburgh city","Pittsburgh_PA Metro Area",0.117,49,"Pittsburgh city"," PA",0.2195,"High Segregation",15235,"ZCTA5 15235",152,15235,"ZCTA5 15235","Lower North East (Arond NY)","PA",34383,2321.115,14.8131358137567,34383,15149,19234,44.06,55.94,34383,1851,2278,1729,1098,2349,4212,4325,4137,4567,4594,2297,946,5.38,6.63,5.03,3.19,6.83,12.25,12.58,12.03,13.28,13.36,6.68,2.75,34383,17638,14048,26,129,0,427,2115,51.3,40.86,0.08,0.38,0,1.24,6.15,15521,8515,5582,2933,595,2338,7006,2567,4439,54.86,35.96,18.9,3.83,15.06,45.14,16.54,28.6,59612,16825,15521,11356,4165,73.17,26.83,34251,4245,5965,10210,24041,12.39,17.42,29.81,70.19,34383,33819,17559,13965,26,129,0,427,1713,564,98.36,51.07,40.62,0.08,0.38,0,1.24,4.98,1.64
"R_1Q0msZCL4f20uLc",23454,8.94,4.31,3.35,0.7,0.48,0.7,"Virginia Beach","VA","Virginia Beach city","Virginia Beach-Norfolk-Newport News_VA-NC Metro Area",0.163,83,"Virginia Beach city"," VA",0.1487,"Low-Medium Segregation",23454,"ZCTA5 23454",234,23454,"ZCTA5 23454","Central East Coast (Around VA)","VA",58022,2579.918,22.489857095863,58022,28923,29099,49.85,50.15,58022,3197,3481,3898,1931,4330,9335,7820,6709,8645,5376,2257,1043,5.51,6,6.72,3.33,7.46,16.09,13.48,11.56,14.9,9.27,3.89,1.8,58022,42524,7108,110,2889,99,975,4317,73.29,12.25,0.19,4.98,0.17,1.68,7.44,22974,15302,11718,3584,927,2657,7672,3415,4257,66.61,51.01,15.6,4.03,11.57,33.39,14.86,18.53,95547,23878,22974,15087,7887,65.67,34.33,57454,3846,7393,11239,46215,6.69,12.87,19.56,80.44,58022,53956,40979,6962,89,2645,29,196,3056,4066,92.99,70.63,12,0.15,4.56,0.05,0.34,5.27,7.01
"R_3DqEfmGJh0zyC5y",46220,4.46,4.53,4.11,0.31,0.16,0.12,"Indianapolis","IN","Indianapolis city","Indianapolis-Carmel-Anderson_IN Metro Area",0.142,NA,NA,NA,NA,NA,46220,"ZCTA5 46220",462,46220,"ZCTA5 46220","Great Lakes (Around MI)","IN",37102,3160.92,11.7377200203244,37102,17520,19582,47.22,52.78,37102,2773,2088,1777,842,3063,7980,4648,4042,4257,3832,1198,602,7.47,5.63,4.79,2.27,8.26,21.51,12.53,10.89,11.47,10.33,3.23,1.62,37102,28851,4505,56,634,2,580,2474,77.76,12.14,0.15,1.71,0.01,1.56,6.67,16861,8765,6881,1884,544,1340,8096,3391,4705,51.98,40.81,11.17,3.23,7.95,48.02,20.11,27.9,93595,17519,16861,10808,6053,64.1,35.9,36820,3378,4021,7399,29421,9.17,10.92,20.1,79.9,37102,35713,28404,4501,0,634,2,88,2084,1389,96.26,76.56,12.13,0,1.71,0.01,0.24,5.62,3.74
"R_2wiU9PI0fl60Af5",85201,8.17,4.85,1.11,0.83,0.91,0.58,"Mesa","AZ","Mesa city","Phoenix-Mesa-Scottsdale_AZ Metro Area",0.16,97,"Mesa city"," AZ",0.1146,"Low-Medium Segregation",85201,"ZCTA5 85201",852,85201,"ZCTA5 85201","Western Interior (Around CO)","AZ",51840,5483.953,9.45303607584282,51840,26371,25469,50.87,49.13,51840,2769,3006,3707,1853,6649,11003,7711,4883,5021,2833,1697,708,5.34,5.8,7.15,3.57,12.83,21.22,14.87,9.42,9.69,5.46,3.27,1.37,51840,30012,3817,2153,1309,216,6023,8310,57.89,7.36,4.15,2.53,0.42,11.62,16.03,20978,11443,6264,5179,1165,4014,9535,5382,4153,54.55,29.86,24.69,5.55,19.13,45.45,25.66,19.8,57684,23169,20978,7596,13382,36.21,63.79,51493,8700,13007,21707,29786,16.9,25.26,42.16,57.84,51840,32159,22917,3548,1505,1189,216,263,2521,19681,62.04,44.21,6.84,2.9,2.29,0.42,0.51,4.86,37.96
"R_1OAHLBhs8du5O3K",15235,3.27,2.63,2.14,0.86,0.75,0.67,"Pittsburgh","PA","Pittsburgh city","Pittsburgh_PA Metro Area",0.117,49,"Pittsburgh city"," PA",0.2195,"High Segregation",15235,"ZCTA5 15235",152,15235,"ZCTA5 15235","Lower North East (Arond NY)","PA",34383,2321.115,14.8131358137567,34383,15149,19234,44.06,55.94,34383,1851,2278,1729,1098,2349,4212,4325,4137,4567,4594,2297,946,5.38,6.63,5.03,3.19,6.83,12.25,12.58,12.03,13.28,13.36,6.68,2.75,34383,17638,14048,26,129,0,427,2115,51.3,40.86,0.08,0.38,0,1.24,6.15,15521,8515,5582,2933,595,2338,7006,2567,4439,54.86,35.96,18.9,3.83,15.06,45.14,16.54,28.6,59612,16825,15521,11356,4165,73.17,26.83,34251,4245,5965,10210,24041,12.39,17.42,29.81,70.19,34383,33819,17559,13965,26,129,0,427,1713,564,98.36,51.07,40.62,0.08,0.38,0,1.24,4.98,1.64
"R_2DNO71a5rBLaoMs",27127,7.7,8.41,5.01,0.71,0.35,0.64,"Winston-Salem","NC","Winston-Salem city","Winston-Salem_NC Metro Area",0.116,64,"Winston-Salem city"," NC",0.1851,"High Segregation",27127,"ZCTA5 27127",271,27127,"ZCTA5 27127","Central East Coast (Around VA)","NC",41958,1428.946,29.362906700726,41958,19477,22481,46.42,53.58,41958,2826,2778,3302,1798,3857,5902,5223,5662,5040,3621,1436,513,6.74,6.62,7.87,4.29,9.19,14.07,12.45,13.49,12.01,8.63,3.42,1.22,41958,23861,10148,65,742,18,2935,4189,56.87,24.19,0.15,1.77,0.04,7,9.98,16140,10189,6952,3237,755,2482,5951,2440,3511,63.13,43.07,20.06,4.68,15.38,36.87,15.12,21.75,60235,17544,16140,10369,5771,64.24,35.76,41246,6239,8316,14555,26691,15.13,20.16,35.29,64.71,41958,32745,20721,9922,21,742,18,255,1066,9213,78.04,49.39,23.65,0.05,1.77,0.04,0.61,2.54,21.96
"R_1KxRuwAw83rAnAV",92139,5.76,3.01,3.51,0.61,0.45,0.32,"San Diego","CA","San Diego city","San Diego-Carlsbad_CA Metro Area",0.145,39,"San Diego city"," CA",0.2514,"High Segregation",92139,"ZCTA5 92139",921,92139,"ZCTA5 92139","West Coast (includes Hawaii/Alaska)","CA",34930,9763.106,3.57775480040834,34930,16839,18091,48.21,51.79,34930,1826,2510,2233,1293,3520,5758,5271,3998,3689,2760,1562,510,5.23,7.19,6.39,3.7,10.08,16.48,15.09,11.45,10.56,7.9,4.47,1.46,34930,9580,3888,164,9998,575,4224,6501,27.43,11.13,0.47,28.62,1.65,12.09,18.61,9960,7910,5113,2797,617,2180,2050,871,1179,79.42,51.34,28.08,6.19,21.89,20.58,8.74,11.84,87463,10578,9960,5887,4073,59.11,40.89,34703,2894,5761,8655,26048,8.34,16.6,24.94,75.06,34930,20735,3993,3862,54,9681,575,12,2558,14195,59.36,11.43,11.06,0.15,27.72,1.65,0.03,7.32,40.64
"R_3EFIDVWiFjKh1fj",85017,4.84,4,2.22,0.58,0.36,0.38,"Phoenix","AZ","Phoenix city","Phoenix-Mesa-Scottsdale_AZ Metro Area",0.16,40,"Phoenix city"," AZ",0.2429,"High Segregation",85017,"ZCTA5 85017",850,85017,"ZCTA5 85017","Western Interior (Around CO)","AZ",43226,8213.693,5.2626749622006,43226,21630,21596,50.04,49.96,43226,2823,3824,3901,2278,8030,5377,5774,5475,3408,1313,518,505,6.53,8.85,9.02,5.27,18.58,12.44,13.36,12.67,7.88,3.04,1.2,1.17,43226,19762,3337,1191,1903,14,6246,10773,45.72,7.72,2.76,4.4,0.03,14.45,24.92,12195,8561,4651,3910,1365,2545,3634,1979,1655,70.2,38.14,32.06,11.19,20.87,29.8,16.23,13.57,50754,13074,12195,5405,6790,44.32,55.68,40388,11145,13318,24463,15925,27.59,32.98,60.57,39.43,43226,15859,8242,3337,954,1801,14,152,1359,27367,36.69,19.07,7.72,2.21,4.17,0.03,0.35,3.14,63.31
"R_3g0N6QCVLt6QCZa",10016,8.35,5.97,6.7,0.82,0.39,0.15,"New York","NY","New York city","New York-Newark-Jersey City_NY-NJ-PA Metro Area",0.095,7,"New York city"," NY",0.4379,"High Segregation",10016,"ZCTA5 10016",100,10016,"ZCTA5 10016","Lower North East (Arond NY)","NY",54369,98991.81,0.549227255106973,54369,27257,27112,50.13,49.87,54369,1798,1261,1410,390,6010,18445,7657,6338,4192,3975,1833,1060,3.31,2.32,2.59,0.72,11.05,33.93,14.08,11.66,7.71,7.31,3.37,1.95,54369,34711,2603,27,10521,15,831,5661,63.84,4.79,0.05,19.35,0.03,1.53,10.41,30162,8201,6787,1414,327,1087,21961,10631,11330,27.19,22.5,4.69,1.08,3.6,72.81,35.25,37.56,145864,36447,30162,8224,21938,27.27,72.73,53101,5010,2742,7752,45349,9.43,5.16,14.6,85.4,54369,47583,31619,2492,11,10430,0,129,2902,6786,87.52,58.16,4.58,0.02,19.18,0,0.24,5.34,12.48
"R_6R81WvMqoP8cRVf",77044,3.69,4.83,2.96,0.93,0.05,0.99,"Houston","TX","Houston city","Houston-The Woodlands-Sugar Land_TX Metro Area",0.144,24,"Houston city"," TX",0.3187,"High Segregation",77044,"ZCTA5 77044",770,77044,"ZCTA5 77044","Central South (Around TX)","TX",54313,1389.234,39.0956560416496,54313,26831,27482,49.4,50.6,54313,4059,5139,5519,2833,4462,6994,10523,6762,4381,2436,1018,187,7.47,9.46,10.16,5.22,8.22,12.88,19.37,12.45,8.07,4.49,1.87,0.34,54313,21207,17573,146,773,271,5686,8657,39.05,32.36,0.27,1.42,0.5,10.47,15.94,16587,13495,9555,3940,916,3024,3092,1588,1504,81.36,57.61,23.75,5.52,18.23,18.64,9.57,9.07,87958,17490,16587,12478,4109,75.23,24.77,54038,6657,9930,16587,37451,12.32,18.38,30.7,69.3,54313,29409,10002,17088,0,773,263,0,1283,24904,54.15,18.42,31.46,0,1.42,0.48,0,2.36,45.85
"R_2CP7S3vBgC4Fd0C",32218,5.16,4.31,5.13,0.06,0.19,0.79,"Jacksonville","FL","Jacksonville city","Jacksonville_FL Metro Area",0.165,70,"Jacksonville city"," FL",0.1705,"Low-Medium Segregation",32218,"ZCTA5 32218",322,32218,"ZCTA5 32218","South East (Around FL)","FL",68996,713.8646,96.6513759909312,68996,33248,35748,48.19,51.81,68996,4745,4766,5707,3384,5365,9951,8740,9326,8407,5281,2560,764,6.88,6.91,8.27,4.9,7.78,14.42,12.67,13.52,12.18,7.65,3.71,1.11,68996,26968,33669,116,1382,17,2817,4027,39.09,48.8,0.17,2,0.02,4.08,5.84,24313,16972,11448,5524,935,4589,7341,3082,4259,69.81,47.09,22.72,3.85,18.87,30.19,12.68,17.52,64298,26939,24313,15485,8828,63.69,36.31,67776,9306,14055,23361,44415,13.73,20.74,34.47,65.53,68996,64195,25273,33487,98,1382,17,1170,2768,4801,93.04,36.63,48.53,0.14,2,0.02,1.7,4.01,6.96
"R_1LoI96p9CWa6iII",28226,8.01,8.06,8.31,0.33,0.45,0.54,"Charlotte","NC","Charlotte city","Charlotte-Concord-Gastonia_NC-SC Metro Area",0.142,41,"Charlotte city"," NC",0.2347,"High Segregation",28226,"ZCTA5 28226",282,28226,"ZCTA5 28226","Central East Coast (Around VA)","NC",38475,2612.563,14.7269176536725,38475,18371,20104,47.75,52.25,38475,2061,2812,2301,1934,2128,4326,6145,5384,4798,3876,2010,700,5.36,7.31,5.98,5.03,5.53,11.24,15.97,13.99,12.47,10.07,5.22,1.82,38475,29276,3168,154,1238,0,1303,3336,76.09,8.23,0.4,3.22,0,3.39,8.67,15659,10476,8760,1716,495,1221,5183,2314,2869,66.9,55.94,10.96,3.16,7.8,33.1,14.78,18.32,116220,16772,15659,10998,4661,70.23,29.77,38246,1942,2641,4583,33663,5.08,6.91,11.98,88.02,38475,34079,28554,3139,0,1238,0,91,1057,4396,88.57,74.21,8.16,0,3.22,0,0.24,2.75,11.43
"R_3mf2JMZa2rEQ7A4",10016,2.3,8.6,2.59,0.93,0.15,0.63,"New York","NY","New York city","New York-Newark-Jersey City_NY-NJ-PA Metro Area",0.095,7,"New York city"," NY",0.4379,"High Segregation",10016,"ZCTA5 10016",100,10016,"ZCTA5 10016","Lower North East (Arond NY)","NY",54369,98991.81,0.549227255106973,54369,27257,27112,50.13,49.87,54369,1798,1261,1410,390,6010,18445,7657,6338,4192,3975,1833,1060,3.31,2.32,2.59,0.72,11.05,33.93,14.08,11.66,7.71,7.31,3.37,1.95,54369,34711,2603,27,10521,15,831,5661,63.84,4.79,0.05,19.35,0.03,1.53,10.41,30162,8201,6787,1414,327,1087,21961,10631,11330,27.19,22.5,4.69,1.08,3.6,72.81,35.25,37.56,145864,36447,30162,8224,21938,27.27,72.73,53101,5010,2742,7752,45349,9.43,5.16,14.6,85.4,54369,47583,31619,2492,11,10430,0,129,2902,6786,87.52,58.16,4.58,0.02,19.18,0,0.24,5.34,12.48
"R_1IgeljQPfYPD9S9",79413,4.85,7.95,7.62,0.1,0.1,0.74,"Lubbock","TX","Lubbock city","Lubbock_TX Metro Area",0.221,78,"Lubbock city"," TX",0.1572,"Low-Medium Segregation",79413,"ZCTA5 79413",794,79413,"ZCTA5 79413","Central South (Around TX)","TX",23523,5023.031,4.68302903333915,23523,11167,12356,47.47,52.53,23523,2116,1670,1916,857,2587,4124,3172,1872,2117,1937,870,285,9,7.1,8.15,3.64,11,17.53,13.48,7.96,9,8.23,3.7,1.21,23523,16284,1158,87,204,160,1538,4092,69.23,4.92,0.37,0.87,0.68,6.54,17.4,8889,6028,4214,1814,297,1517,2861,1379,1482,67.81,47.41,20.41,3.34,17.07,32.19,15.51,16.67,65719,9483,8889,5064,3825,56.97,43.03,23502,3950,5051,9001,14501,16.81,21.49,38.3,61.7,23523,15066,12643,1041,29,167,160,0,1026,8457,64.05,53.75,4.43,0.12,0.71,0.68,0,4.36,35.95
"R_2VyaPuvxjJKH4ia",98155,2.46,5.74,6.35,0.88,0.38,0.8,"Seattle","WA","Seattle city","Seattle-Tacoma-Bellevue_WA Metro Area",0.17,101,"Seattle city"," WA",0.1043,"Low-Medium Segregation",98155,"ZCTA5 98155",981,98155,"ZCTA5 98155","West Coast (includes Hawaii/Alaska)","WA",35550,4712.25,7.54416700000154,35550,17415,18135,48.99,51.01,35550,1837,2136,1803,1140,2371,5342,5141,5192,4278,3748,1636,926,5.17,6.01,5.07,3.21,6.67,15.03,14.46,14.6,12.03,10.54,4.6,2.6,35550,24737,1665,304,4493,101,1072,3178,69.58,4.68,0.86,12.64,0.28,3.02,8.94,13896,9072,7221,1851,614,1237,4824,2321,2503,65.28,51.96,13.32,4.42,8.9,34.72,16.7,18.01,124531,14387,13896,9862,4034,70.97,29.03,35104,1927,3085,5012,30092,5.49,8.79,14.28,85.72,35550,33104,24154,1665,226,4441,84,153,2381,2446,93.12,67.94,4.68,0.64,12.49,0.24,0.43,6.7,6.88
"R_1GV1SzqknbLeh3j",21230,2.66,7.89,2.39,0.98,0.64,0.76,"Baltimore","MD","Baltimore city","Baltimore-Columbia-Towson_MD Metro Area",0.122,19,"Baltimore city"," MD",0.3335,"High Segregation",21230,"ZCTA5 21230",212,21230,"ZCTA5 21230","Central East Coast (Around VA)","MD",32883,5204.632,6.31802579780292,32883,16154,16729,49.13,50.87,32883,2026,1639,1611,768,2371,9279,5049,3098,3377,2379,845,441,6.16,4.98,4.9,2.34,7.21,28.22,15.35,9.42,10.27,7.23,2.57,1.34,32883,19498,8826,186,855,5,1944,1569,59.3,26.84,0.57,2.6,0.02,5.91,4.77,15560,6486,4772,1714,254,1460,9074,4613,4461,41.68,30.67,11.02,1.63,9.38,58.32,29.65,28.67,95470,17814,15560,7905,7655,50.8,49.2,32816,4588,4234,8822,23994,13.98,12.9,26.88,73.12,32883,29929,18886,8785,116,843,5,179,1115,2954,91.02,57.43,26.72,0.35,2.56,0.02,0.54,3.39,8.98
"R_2VKoG8pwEmMvflc",85260,3.58,1.93,8.14,0.06,0.32,0.71,"Scottsdale","AZ","Scottsdale city","Phoenix-Mesa-Scottsdale_AZ Metro Area",0.16,43,"Scottsdale city"," AZ",0.2241,"High Segregation",85260,"ZCTA5 85260",852,85260,"ZCTA5 85260","Western Interior (Around CO)","AZ",38627,2712.261,14.2416227411092,38627,17631,20996,45.64,54.36,38627,1788,1787,1806,1183,2538,5414,4825,5600,5758,4194,2417,1317,4.63,4.63,4.68,3.06,6.57,14.02,12.49,14.5,14.91,10.86,6.26,3.41,38627,31309,887,158,3390,45,834,2004,81.05,2.3,0.41,8.78,0.12,2.16,5.19,18498,9794,7262,2532,683,1849,8704,3448,5256,52.95,39.26,13.69,3.69,10,47.05,18.64,28.41,101112,20759,18498,11167,7331,60.37,39.63,38316,2049,2798,4847,33469,5.35,7.3,12.65,87.35,38627,34844,29288,884,158,3390,45,165,914,3783,90.21,75.82,2.29,0.41,8.78,0.12,0.43,2.37,9.79
"R_3HT6hllvxEkuyWA",99201,3.97,5.93,1.59,0.39,0.02,0.79,"Spokane","WA","Spokane city","Spokane-Spokane Valley_WA Metro Area",0.176,118,"Spokane city"," WA",0.0219,"Low-Medium Segregation",99201,"ZCTA5 99201",992,99201,"ZCTA5 99201","West Coast (includes Hawaii/Alaska)","WA",14246,4796.701,2.96995816196832,14246,7746,6500,54.37,45.63,14246,332,301,494,367,1156,3194,2215,1616,2161,1901,435,74,2.33,2.11,3.47,2.58,8.11,22.42,15.55,11.34,15.17,13.34,3.05,0.52,14246,11041,366,463,329,37,340,1670,77.5,2.57,3.25,2.31,0.26,2.39,11.72,7692,1962,1298,664,150,514,5730,3201,2529,25.51,16.87,8.63,1.95,6.68,74.49,41.61,32.88,34462,8594,7692,2177,5515,28.3,71.7,13454,4367,2594,6961,6493,32.46,19.28,51.74,48.26,14246,12792,10555,366,454,301,37,5,1074,1454,89.79,74.09,2.57,3.19,2.11,0.26,0.04,7.54,10.21
